name,alias_names,blood_status,born,died,gender,house,jobs
Abigail Pugh,,,31 August 1982 or earlier,,Female,Slytherin,
Abraham Ronen,,,Before 1866 (likely),,Male,Slytherin,"Charms Master at Hogwarts School of Witchcraft and Wizardry, Head of Slytherin House at Hogwarts School of Witchcraft and Wizardry"
Abraxas Malfoy,,Pure-blood,before 1936 (most likely),Pre 2 September 1996,Male,Slytherin,
Adelaide Murton,,,31 August 1982 or earlier,,Female,Slytherin,
Adrian Pucey,,,Between 1 September 1977 and 31 August 1979 (likely),,Male,Slytherin,
Aesop Sharp,,,In or before 1858,,Male,Slytherin,"Auror (formerly), Potions Master at Hogwarts School of Witchcraft and Wizardry"
Agnes Monkleigh,,,31 August 1982 or earlier,,Female,Slytherin,
Albus Severus Potter,"Al (by Harry Potter), Slytherin Squib (by Karl Jenkins), Ronald Weasley (under disguise of Polyjuice Potion)",Half-blood,Between 1 September 2005 and 31 August 2006 Great Britain,,Male,Slytherin,
Alecto Carrow,,Pure-blood or half-blood,"Before 1981, Great Britain",,Female,Slytherin,"Professor of Muggle Studies at Hogwarts (1997—1998), Deputy Headmistress at Hogwarts (1997—1998)"
Alex Sykes,,,31 August 1985 or earlier,,Male,Slytherin,
Alphard Black,,Pure-blood,Between 1925 and 1938; Great Britain,Between 3 November 1976 and 3 November 1977 (aged 38–52),Male,Slytherin,
Amrish Gupta,,,31 August 1982 or earlier,,Male,Slytherin,
Amycus Carrow,,Pure-blood or Half-blood,"Pre 1964 (likely), Great Britain",,Male,Slytherin,"Professor of Dark Arts at Hogwarts (1997 - 1998), Deputy Headmaster (1997 - 1998)"
Amy Frome,,,"31 August 1982 or earlier,",,Female,Slytherin,
Andrew Snowy Owl,,,c. 1930s,,Male,Slytherin,
Andromeda Tonks (née Black),Dromeda (by Ted Tonks),Pure-blood,"Between 1951 and 1955, Great Britain",,Female,Slytherin,
Anne Sallow,,Pure-blood or half-blood,Between 1 September 1874 and 31 August 1875,,Female,Slytherin,
Araminta Meliflua Black,,Pure-blood,approx. 1920s - no later than 1978,,Female,Slytherin,
Archana Shetty,,,31 August 1982 or earlier,,Female,Slytherin,
Atsushi Takagi,,,31 August 1982 or earlier,,Male,Slytherin,
Avery,,Pure-blood or Half-blood,Late 1950s or early 1960s,,Male,Slytherin,
Avery I,,Pure-blood or half-blood (likely),Between 1925 and 1932,,Male,Slytherin,
Barnaby Abernathy Lee,,Pure-blood or half-blood,Between 1 September 1972 and 31 August 1973,,Male,Slytherin,Houndmaster
Barnaby Lee's father,,Pure-blood or half-blood,Before 1970s,,Male,Slytherin,
Barnaby Lee's mother,,Pure-blood or half-blood (presumably),Before 1970s,,Female,Slytherin,
Bastien Queensbury,,,31 August 1982 or earlier,,Male,Slytherin,
Bellatrix Lestrange (née Black),"Bella (by Narcissa Malfoy, Voldemort, Lucius Malfoy, Kreacher & Severus Snape)",Pure-blood,"1951, Great Britain","2 May 1998 (aged 46/47), Great Hall, Hogwarts Castle, Highlands, Scotland, Great Britain",Female,Slytherin,
Bespectacled Slytherin,,,Between 1 September 1979 and 31 August 1980,,Female,Slytherin,
Bhupen Shastri,,,31 August 1982 or earlier,,Male,Slytherin,
Blaise Zabini,,Pure-blood or half-blood,1 September 1979 – 21 April 1980,,Male,Slytherin,
Bowen Duffield,,,31 August 1982 or earlier,,Male,Slytherin,
Boy who attended Charm School,,Half-blood (most likely),Between 1 September 1979 and 31 August 1980,,Male,Slytherin,
Boy who owned a magic hamster,,Pure-blood or half-blood,Between 1 September 1979 and 31 August 1980,,Male,Slytherin,
Bridget,,,c. 1 September 1975 - 31 August 1981,,Female,Slytherin,
Byron Miller,,,31 August 1982 or earlier,,Male,Slytherin,
Callidora Longbottom (née Black),,Pure-blood,1915,Before 1995 (possibly),Female,Slytherin,
Callum McClintock,,Pure-blood or half-blood,"Glasgow, Scotland",,Male,Slytherin,"Curse-Breaker for Gringotts Wizarding Bank (formerly), Agent of the Rare, Obscure, and Confounding Case Division"
Callum McClintock's parents,,,,,"Male, female",Slytherin,
Cameron Boyle,,,31 August 1982 or earlier,,Male,Slytherin,
Cassandra Vole,,Half-breed (one-eighth-Veela),Between 22 June and 22 July 1997,,Female,Slytherin,
Cassiopeia Black,,Pure-blood,1915,1992 (aged 76–77),Female,Slytherin,
Cassius Warrington,,,Between 1 September and 31 October 1977 (most likely),,Male,Slytherin,
Catriona McClintock,,Pure-blood or half-blood,"Glasgow, Scotland",,Female,Slytherin,
Cedrella Weasley (née Black),,Pure-blood,Between 1 October 1915 and 31 March 1919,Before 1995 (presumably) (aged 30-80),Female,Slytherin,
Charis Crouch (née Black),,Pure-blood,1919,1973 (aged 53 - 54),Female,Slytherin,
Charles Machin,,,31 August 1982 or earlier,,Male,Slytherin,
Charles Rookwood,,,,,Male,Slytherin,Professor of Transfiguration at Hogwarts School of Witchcraft and Wizardry
Coeus Grimshaw,,,Between 1 September 1990 and 31 August 1997,,Male,Slytherin,
Colby Frey,,,Between 21 May and 21 June 1997,,Male,Slytherin,
Cole Spencer,,,31 August 1982 or earlier,,Male,Slytherin,
Colton,,,Between 1 September 1990 and 31 August 1996,,Male,Slytherin,
